name, type, abortion, employment, same-sex_marriage, religion, obamacare, social_security, education, environment, crime, gun, taxes, immigrations, trade, foreign_policy, military, voting, international_affairs, climate_change, drugs, economy
Orrin_Hatch,Senate,2,10,0,0,7,7,10,2,2,10,10,2,10,10,0,2,0,10,0,10
Mitch_McConnell,Senate,0,7,0,2,10,10,10,2,2,10,10,2,10,10,0,0,0,10,0,10
John_Cornyn,Senate,0,7,0,0,7,7,10,0,2,10,10,0,10,10,0,2,0,10,0,7
Chuck_Schumer,Senate,10,0,10,7,0,0,0,7,2,0,0,10,7,0,2,10,2,0,2,0
Richard_Durbin,Senate,10,0,10,7,2,2,0,7,7,0,0,10,2,0,10,7,7,0,7,0
Luther_Strange,Senate,0,5,5,0,10,5,5,0,0,10,5,0,0,10,5,0,5,10,0,5
Doug_Jones,Senate,10,2,5,5,2,5,0,10,10,7,0,10,10,5,5,5,5,0,10,2
Roy_Moore,Senate,0,10,0,0,10,5,10,5,5,10,10,0,0,7,0,5,7,10,5,10
Richard_Shelby,Senate,0,10,0,0,10,7,10,7,2,10,10,0,2,10,0,2,0,10,0,7
Jeff_Sessions,Senate,0,10,0,0,7,7,10,7,2,10,10,0,7,10,0,2,0,7,2,10
Lisa_Murkowski,Senate,7,2,0,0,2,7,7,7,2,10,10,2,10,10,0,7,0,10,5,7
Dan_Sullivan,Senate,0,5,0,5,10,5,5,0,0,10,5,0,10,7,0,2,0,10,5,7
Kelli_Ward,Senate,0,5,0,2,10,5,7,0,5,10,10,0,7,10,2,7,7,7,2,10
Kyrsten_Sinema,Senate,10,0,10,7,0,0,0,7,5,0,0,7,10,7,7,10,5,2,10,5
Joe_Arpaio,Senate,0,10,5,5,7,5,2,5,0,10,5,0,5,5,2,2,5,5,0,5
Martha_McSally,Senate,0,0,0,5,10,0,10,2,5,10,7,2,10,10,0,5,2,7,0,10
Deedra_Abboud,Senate,10,0,10,5,0,0,0,10,5,2,0,10,7,5,7,7,7,0,7,2
Doug_Marks,Senate,7,10,7,7,10,7,10,0,7,10,10,10,7,0,10,7,7,10,10,10
John_McCain,Senate,2,2,7,2,7,10,10,7,2,10,7,7,10,7,2,10,0,2,0,7
Jon_Kyl,Senate,0,10,0,0,7,10,10,2,0,10,10,2,10,10,2,10,0,10,0,10
Jeff_Flake,Senate,0,7,2,2,10,7,10,0,2,10,10,2,7,10,7,7,0,10,7,10
